hai,はい
iie,いいえ
wakaranai,わからない
sou,そう
chigaimasu,違います
mouichido,もう一度
arigatou,ありがとう
onegaishimasu,お願いします
gomennnasai,ごめんなさい
itai,痛い
kayui,かゆい
tsurai,つらい
darui,だるい
samui,寒い
nodogakawaita,のどが渇いた
onakagasuita,お腹がすいた
onaka,お腹
onakaippai,お腹いっぱい
nemui,ねむい
memai,めまい
hiza,ひざ
atama,頭
migiasi,右足
mune,胸
hidariasi,左足
te,手
migite,右手
hidarite,左手
nodo,喉
me,目
mimi,耳
kuchi,口
kata,肩
ude,腕
ashi,足
senaka,背中
kusuri,薬
byouinn,病院
kanngoshi,看護師
isha,医者
kensa,検査
shinnsatsu,診察
taionn,体温
shinndoi,しんどい
naoru,なおる
yokunatta,よくなった
ju-su,ジュース
pann,パン
mizu,水
ocha,お茶
gohann,ご飯
zeri-,ゼリー
kudamono,果物
netai,寝たい
suwaritai,座りたい
okitai,起きたい
terebi,テレビ
souji,掃除
kazoku,家族
haha,母
chichi,父
musuko,息子
musume,娘
sennsei,先生
kaigoshi,介護士
tomodachi,友達
anata,あなた
dare,誰
ureshii,うれしい
kanashii,悲しい
irairasuru,イライラする
iraira,イライラ
bikkuri,びっくり
tanoshii,楽しい
kurushii,苦しい
tsukareta,つかれた
hottoshita,ほっとした
iyada,いやだ
asa,朝
hiru,昼
yoru,夜
ima,今
atode,あとで
kinou,昨日
kyou,今日
ashita,明日
matsu,待つ
iku,行く
nomu,飲む
taberu,食べる
neru,寝る
aruku,歩く
suwaru,座る
miru,見る
kiku,聞く
hanasu,話す
kaku,書く
toire,トイレ
beddo,ベッド
eakonn,エアコン
rimokonn,リモコン
dennwa,電話
penn,ペン
memo,メモ
keitai,携帯
owari,終わり
uzai,うざい
inu,犬
neko,猫
kutu,靴
mikann,みかん
budou,ぶどう
sumaho,スマホ
gakkou,学校
tegami,手紙
jisyo,辞書
ennpitu,鉛筆
kega,けが
taoreta,倒れた
haketa,吐けた
hakisou,吐きそう
kyuuni,急に
fuann,不安
kuraberu,比べる
hirou,疲労
fukuzatsu,複雑
masuku,マスク
atamaitai,頭痛たい
zutuu,頭痛
geri,下痢
benpi,便秘
taionnkei,体温計
kairo,カイロ
shippu,湿布
ga-ze,ガーゼ
omutsu,おむつ
kaigo,介護
rensyu,練習
annzen,安全
sikensuu,試験数
sasaeru,支える
moteru,持てる
motenai,持てない
okosareru,起こされる
unnten,運転
sagasu,探す
hipparu,引っ張る
osanai,押さない
osareru,押される
yoberu,呼べる
yobenai,呼べない
nobasu,伸ばす
noru,乗る
orirareru,降りられる
kesu,消す
hayaku,はやく
osoku,遅く
tadaima,ただいま
okaeri,おかえり
ittekimasu,いってきます
itterasshai,いってらっしゃい
oyasumi,おやすみ
ohayou,おはよう
konbanwa,こんばんは
hajimemashite,はじめまして
yoroshiku,よろしく
sugoi,すごい
honntou,本当
uso,うそ
muri,無理
menndoi,めんどい
menndou,めんどう
yabai,やばい
muzukashii,難しい
kanntann,簡単
sabishii,さびしい
hazukashii,恥ずかしい
kirei,きれい
kitanai,きたない
kawaii,かわいい
kowai,怖い
urusai,うるさい
shizuka,静か
osoi,遅い
isogashii,忙しい
kusai,くさい
hima,暇
warui,悪い
ii,いい
sore,それ
are,あれ
kore,これ
ikura,いくら
ikutsu,いくつ
dore,どれ
tabunn,たぶん
kitto,きっと
tokidoki,時々
yoku,よく
zennzenn,全然
totemo,とても
chotto,ちょっと
yukkuri,ゆっくり
mouii,もういい
daijoubu,大丈夫
yameru,やめる
yamete,やめて
gannbaru,がんばる
gannbare,がんばれ
tasukete,助けて
tasukaru,助かる
sugoku,すごく
hunniki,雰囲気
shumi,趣味
ge-mu,ゲーム
onngaku,音楽
uta,歌
honn,本
tokei,時計
kagi,鍵
baggu,バッグ
kabann,かばん
saifu,財布
kippu,切符
jikann,時間
basu,バス
